city,country,Gender,Date,Card Type,Exp Type,amount,day_name,holiday_name,holiday_type
Ahmedabad," India",Female,2014-10-02,Silver,Bills,772082,"Thursday ","Maha Ashtami","Restricted Holiday"
Ahmedabad," India",Female,2014-10-02,Silver,Bills,772082,"Thursday ","Mahatma Gandhi Jayanti","Gazetted Holiday"
Delhi," India",Female,2015-04-09,Gold,Bills,230853,"Thursday ",,
Bengaluru," India",Female,2013-10-06,Signature,Bills,677654,"Sunday   ",,
"Greater Mumbai"," India",Female,2014-02-05,Signature,Bills,929247,Wednesday,,
Ahmedabad," India",Female,2015-04-09,Platinum,Bills,851374,"Thursday ",,
Ahmedabad," India",Female,2014-01-19,Platinum,Bills,637600,"Sunday   ",,
"Greater Mumbai"," India",Female,2013-11-09,Platinum,Bills,681749,"Saturday ",,
Delhi," India",Female,2014-03-25,Silver,Bills,847958,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-02-18,Gold,Bills,877569,"Tuesday  ",,
Ahmedabad," India",Female,2013-10-14,Platinum,Bills,450413,"Monday   ",,
Bengaluru," India",Female,2015-05-01,Signature,Bills,219041,"Friday   ","International Worker's Day",Observance
Bengaluru," India",Female,2014-12-31,Gold,Bills,866572,Wednesday,"New Year's Eve",Observance
"Greater Mumbai"," India",Female,2014-03-26,Signature,Bills,570791,Wednesday,,
Ahmedabad," India",Female,2014-04-28,Silver,Bills,705464,"Monday   ",,
"Greater Mumbai"," India",Female,2014-04-06,Signature,Bills,806821,"Sunday   ",,
"Greater Mumbai"," India",Female,2014-03-27,Platinum,Bills,515472,"Thursday ",,
Ahmedabad," India",Female,2014-09-23,Silver,Bills,352207,"Tuesday  ","September Equinox",Season
Ahmedabad," India",Female,2015-03-04,Gold,Bills,342761,Wednesday,,
Bengaluru," India",Female,2014-02-27,Signature,Bills,249099,"Thursday ","Maha Shivaratri/Shivaratri","Gazetted Holiday"
Ahmedabad," India",Female,2014-08-27,Platinum,Bills,995634,Wednesday,,
Bengaluru," India",Female,2014-12-12,Signature,Bills,435097,"Friday   ",,
Ahmedabad," India",Female,2014-06-16,Platinum,Bills,797815,"Monday   ",,
Delhi," India",Female,2014-01-02,Gold,Bills,326922,"Thursday ",,
Bengaluru," India",Female,2014-12-11,Gold,Bills,396241,"Thursday ",,
Delhi," India",Female,2014-12-14,Gold,Bills,486949,"Sunday   ",,
"Greater Mumbai"," India",Female,2014-01-17,Gold,Bills,333483,"Friday   ",,
Ahmedabad," India",Female,2013-10-05,Platinum,Bills,612572,"Saturday ","First Day of Sharad Navratri","Observance, Hinduism"
Bengaluru," India",Female,2015-03-18,Silver,Bills,327244,Wednesday,,
Ahmedabad," India",Female,2014-02-04,Silver,Bills,955468,"Tuesday  ","Vasant Panchami","Restricted Holiday"
"Greater Mumbai"," India",Female,2015-02-25,Gold,Bills,927864,Wednesday,,
Delhi," India",Female,2014-03-28,Signature,Bills,555220,"Friday   ",,
Delhi," India",Female,2014-12-28,Silver,Bills,952640,"Sunday   ",,
Ahmedabad," India",Female,2014-05-31,Silver,Bills,695749,"Saturday ",,
"Greater Mumbai"," India",Female,2014-08-22,Platinum,Bills,365724,"Friday   ",,
"Greater Mumbai"," India",Female,2015-03-03,Platinum,Bills,738108,"Tuesday  ",,
Ahmedabad," India",Female,2015-01-17,Platinum,Bills,650785,"Saturday ",,
Delhi," India",Female,2014-10-23,Signature,Bills,611486,"Thursday ",Diwali/Deepavali,"Gazetted Holiday"
Bengaluru," India",Female,2014-08-05,Platinum,Bills,965721,"Tuesday  ",,
Ahmedabad," India",Female,2014-10-12,Gold,Bills,413052,"Sunday   ",,
Ahmedabad," India",Female,2014-01-22,Silver,Bills,584822,Wednesday,,
Ahmedabad," India",Female,2015-03-25,Gold,Bills,980146,Wednesday,,
Ahmedabad," India",Female,2014-10-10,Signature,Bills,926072,"Friday   ",,
Delhi," India",Female,2014-04-16,Silver,Bills,482394,Wednesday,,
Bengaluru," India",Female,2014-02-21,Signature,Bills,718346,"Friday   ",,
Bengaluru," India",Female,2014-04-24,Silver,Bills,491598,"Thursday ",,
Delhi," India",Female,2014-09-07,Platinum,Bills,848852,"Sunday   ",,
Bengaluru," India",Female,2014-12-28,Gold,Bills,396139,"Sunday   ",,
Ahmedabad," India",Female,2014-10-13,Signature,Bills,856974,"Monday   ",,
Ahmedabad," India",Female,2015-04-03,Signature,Bills,855990,"Friday   ","Good Friday","Gazetted Holiday"
Delhi," India",Female,2015-02-16,Signature,Bills,924776,"Monday   ",,
"Greater Mumbai"," India",Female,2014-04-03,Signature,Bills,204850,"Thursday ",,
Delhi," India",Female,2013-11-03,Platinum,Bills,780669,"Sunday   ",Diwali/Deepavali,"Gazetted Holiday"
"Greater Mumbai"," India",Female,2014-04-17,Signature,Bills,887442,"Thursday ","Maundy Thursday","Observance, Christian"
Delhi," India",Female,2014-01-22,Signature,Bills,297820,Wednesday,,
Delhi," India",Female,2015-03-14,Signature,Bills,687879,"Saturday ",,
"Greater Mumbai"," India",Female,2013-10-13,Silver,Bills,738456,"Sunday   ",Dussehra,"Gazetted Holiday"
Delhi," India",Female,2014-08-24,Platinum,Bills,378535,"Sunday   ",,
"Greater Mumbai"," India",Female,2015-05-09,Silver,Bills,334116,"Saturday ","Birthday of Rabindranath","Restricted Holiday"
Delhi," India",Female,2014-06-07,Silver,Bills,772360,"Saturday ",,
Ahmedabad," India",Female,2014-11-26,Gold,Bills,580796,Wednesday,,
"Greater Mumbai"," India",Female,2014-10-21,Silver,Bills,855465,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-06-15,Gold,Bills,978989,"Sunday   ","Father’s Day",Observance
Ahmedabad," India",Female,2015-04-25,Gold,Bills,451874,"Saturday ",,
Ahmedabad," India",Female,2014-09-07,Silver,Bills,670750,"Sunday   ",,
Bengaluru," India",Female,2015-05-19,Signature,Bills,977951,"Tuesday  ",,
Delhi," India",Female,2014-02-23,Platinum,Bills,403466,"Sunday   ",,
Delhi," India",Female,2013-10-28,Signature,Bills,861177,"Monday   ",,
Ahmedabad," India",Female,2014-12-17,Gold,Bills,528612,Wednesday,"First Day of Hanukkah",Observance
Ahmedabad," India",Female,2014-12-04,Signature,Bills,339670,"Thursday ",,
Delhi," India",Female,2013-11-18,Signature,Bills,963751,"Monday   ",,
Ahmedabad," India",Female,2014-11-30,Gold,Bills,761930,"Sunday   ",,
Ahmedabad," India",Female,2014-08-21,Signature,Bills,852806,"Thursday ",,
Delhi," India",Female,2014-05-25,Signature,Bills,207755,"Sunday   ",,
"Greater Mumbai"," India",Female,2015-04-19,Gold,Bills,489540,"Sunday   ",,
Ahmedabad," India",Female,2014-03-25,Silver,Bills,274395,"Tuesday  ",,
Bengaluru," India",Female,2014-02-11,Platinum,Bills,566945,"Tuesday  ",,
Ahmedabad," India",Female,2014-12-09,Gold,Bills,705690,"Tuesday  ",,
Bengaluru," India",Female,2014-03-25,Gold,Bills,894888,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-01-02,Platinum,Bills,811899,"Thursday ",,
"Greater Mumbai"," India",Female,2014-12-25,Silver,Bills,677645,"Thursday ",Christmas,"Gazetted Holiday"
"Greater Mumbai"," India",Female,2014-10-16,Platinum,Bills,326162,"Thursday ",,
Delhi," India",Female,2015-04-19,Platinum,Bills,316946,"Sunday   ",,
Delhi," India",Female,2014-01-20,Platinum,Bills,622373,"Monday   ",,
Bengaluru," India",Female,2014-05-10,Signature,Bills,640653,"Saturday ",,
Ahmedabad," India",Female,2015-01-09,Signature,Bills,745493,"Friday   ",,
Delhi," India",Female,2013-10-31,Gold,Bills,868021,"Thursday ",Halloween,Observance
Delhi," India",Female,2014-11-28,Platinum,Bills,284923,"Friday   ",,
Bengaluru," India",Female,2014-07-21,Platinum,Bills,814422,"Monday   ",,
Bengaluru," India",Female,2015-04-22,Gold,Bills,599741,Wednesday,,
Ahmedabad," India",Female,2014-06-10,Platinum,Bills,804560,"Tuesday  ",,
Ahmedabad," India",Female,2015-04-17,Gold,Bills,996291,"Friday   ",,
Ahmedabad," India",Female,2013-11-09,Platinum,Bills,477553,"Saturday ",,
Delhi," India",Female,2015-01-02,Gold,Bills,216028,"Friday   ",,
"Greater Mumbai"," India",Female,2015-03-10,Signature,Bills,275427,"Tuesday  ",,
Delhi," India",Female,2013-12-22,Silver,Bills,722048,"Sunday   ",,
Delhi," India",Female,2015-02-14,Silver,Bills,292365,"Saturday ","Valentine's Day",Observance
Delhi," India",Female,2015-02-14,Silver,Bills,292365,"Saturday ","Maharishi Dayanand Saraswati Jayanti","Restricted Holiday"
Ahmedabad," India",Female,2015-01-30,Silver,Bills,400393,"Friday   ",,
"Greater Mumbai"," India",Female,2014-04-01,Platinum,Bills,219720,"Tuesday  ",,
Delhi," India",Female,2015-02-15,Signature,Bills,981404,"Sunday   ",,
Bengaluru," India",Female,2014-11-24,Signature,Bills,639670,"Monday   ","Guru Tegh Bahadur's Martyrdom Day","Restricted Holiday"
Bengaluru," India",Female,2014-08-07,Gold,Bills,814333,"Thursday ",,
Ahmedabad," India",Female,2013-10-17,Gold,Bills,569582,"Thursday ",,
Ahmedabad," India",Female,2014-05-25,Gold,Bills,954111,"Sunday   ",,
Ahmedabad," India",Female,2014-05-16,Gold,Bills,635267,"Friday   ",,
Delhi," India",Female,2013-10-11,Gold,Bills,393651,"Friday   ","Maha Saptami","Restricted Holiday"
Ahmedabad," India",Female,2014-06-02,Platinum,Bills,572306,"Monday   ",,
Ahmedabad," India",Female,2014-08-06,Silver,Bills,407647,Wednesday,,
"Greater Mumbai"," India",Female,2015-01-26,Gold,Bills,734396,"Monday   ","Republic Day","Gazetted Holiday"
Delhi," India",Female,2015-03-02,Platinum,Bills,224414,"Monday   ",,
Ahmedabad," India",Female,2014-09-10,Signature,Bills,203194,Wednesday,,
"Greater Mumbai"," India",Female,2015-01-22,Gold,Bills,250410,"Thursday ","Beti Bachao, Beti Padhao Campaign Launch Day",Observance
Delhi," India",Female,2015-04-04,Silver,Bills,830697,"Saturday ","First day of Passover",Observance
"Greater Mumbai"," India",Female,2014-05-16,Platinum,Bills,790800,"Friday   ",,
"Greater Mumbai"," India",Female,2014-02-22,Silver,Bills,638570,"Saturday ",,
"Greater Mumbai"," India",Female,2014-08-13,Silver,Bills,380409,Wednesday,,
"Greater Mumbai"," India",Female,2014-04-01,Gold,Bills,601631,"Tuesday  ",,
Ahmedabad," India",Female,2014-01-08,Gold,Bills,690534,Wednesday,,
Ahmedabad," India",Female,2015-03-05,Silver,Bills,423661,"Thursday ","Holika Dahana","Restricted Holiday"
"Greater Mumbai"," India",Female,2014-12-08,Silver,Bills,936294,"Monday   ",,
Bengaluru," India",Female,2014-11-29,Platinum,Bills,537050,"Saturday ",,
Delhi," India",Female,2015-03-08,Silver,Bills,899343,"Sunday   ",,
"Greater Mumbai"," India",Female,2013-11-25,Platinum,Bills,834691,"Monday   ",,
Ahmedabad," India",Female,2015-04-13,Silver,Bills,240216,"Monday   ",,
"Greater Mumbai"," India",Female,2014-04-15,Signature,Bills,424370,"Tuesday  ","Mesadi / Vaisakhadi","Restricted Holiday"
"Greater Mumbai"," India",Female,2014-04-15,Signature,Bills,424370,"Tuesday  ","First day of Passover",Observance
Delhi," India",Female,2015-02-13,Silver,Bills,593991,"Friday   ",,
"Greater Mumbai"," India",Female,2014-10-02,Signature,Bills,768467,"Thursday ","Maha Ashtami","Restricted Holiday"
"Greater Mumbai"," India",Female,2014-10-02,Signature,Bills,768467,"Thursday ","Mahatma Gandhi Jayanti","Gazetted Holiday"
Delhi," India",Female,2015-02-07,Gold,Bills,781959,"Saturday ",,
Bengaluru," India",Female,2014-12-27,Platinum,Bills,553907,"Saturday ",,
Bengaluru," India",Female,2014-08-04,Platinum,Bills,308622,"Monday   ",,
"Greater Mumbai"," India",Female,2015-05-05,Signature,Bills,912334,"Tuesday  ",,
Delhi," India",Female,2015-01-28,Silver,Bills,586474,Wednesday,,
Delhi," India",Female,2014-04-06,Gold,Bills,521237,"Sunday   ",,
Delhi," India",Female,2013-10-30,Signature,Bills,446266,Wednesday,,
"Greater Mumbai"," India",Female,2014-09-30,Platinum,Bills,511168,"Tuesday  ","First Day of Durga Puja Festivities","Observance, Hinduism"
Bengaluru," India",Female,2013-12-28,Signature,Bills,608438,"Saturday ",,
Delhi," India",Female,2014-10-18,Gold,Bills,973519,"Saturday ",,
Delhi," India",Female,2014-11-28,Platinum,Bills,688577,"Friday   ",,
Bengaluru," India",Female,2014-05-12,Silver,Bills,686619,"Monday   ",,
"Greater Mumbai"," India",Female,2014-11-06,Signature,Bills,255982,"Thursday ","Guru Nanak Jayanti","Gazetted Holiday"
"Greater Mumbai"," India",Female,2014-03-02,Signature,Bills,464656,"Sunday   ",,
Delhi," India",Female,2015-04-19,Signature,Bills,212319,"Sunday   ",,
"Greater Mumbai"," India",Female,2015-04-18,Platinum,Bills,307563,"Saturday ",,
Delhi," India",Female,2015-04-15,Silver,Bills,407564,Wednesday,"Mesadi / Vaisakhadi","Restricted Holiday"
Bengaluru," India",Female,2014-10-12,Signature,Bills,331349,"Sunday   ",,
Delhi," India",Female,2015-04-14,Silver,Bills,391325,"Tuesday  ","Ambedkar Jayanti",Observance
